Title,Year,Rating,Number of Ratings
The Shawshank Redemption,,9.3,(3M)
The Godfather,,9.2,(2.1M)
The Dark Knight,,9.0,(3M)
The Godfather Part II,,9.0,(1.4M)
12 Angry Men,,9.0,(912K)
The Lord of the Rings: The Return of the King,,9.0,(2.1M)
Schindler's List,,9.0,(1.5M)
Pulp Fiction,,8.9,(2.3M)
The Lord of the Rings: The Fellowship of the Ring,,8.9,(2.1M)
"The Good, the Bad and the Ugly",,8.8,(844K)
Forrest Gump,,8.8,(2.4M)
The Lord of the Rings: The Two Towers,,8.8,(1.9M)
Fight Club,,8.8,(2.4M)
Inception,,8.8,(2.7M)
Star Wars: Episode V - The Empire Strikes Back,,8.7,(1.4M)
The Matrix,,8.7,(2.1M)
Goodfellas,,8.7,(1.3M)
One Flew Over the Cuckoo's Nest,,8.7,(1.1M)
Interstellar,,8.7,(2.3M)
Se7en,,8.6,(1.9M)
It's a Wonderful Life,,8.6,(523K)
Seven Samurai,,8.6,(380K)
The Silence of the Lambs,,8.6,(1.6M)
Saving Private Ryan,,8.6,(1.6M)
City of God,,8.6,(830K)
